Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Company Name,Industry,Sector,Market Cap,Total Revenue,Net Income
1989-06-09,0.421875,0.4263390004634857,0.4151790142059326,0.4196430146694183,0.3298903703689575,94416000,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-12,0.4174109995365143,0.4263390004634857,0.4129459857940674,0.4241069853305816,0.3333997130393982,80864000,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-13,0.4241069853305816,0.4352680146694183,0.4196430146694183,0.4330359995365143,0.3404189646244049,230977600,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-14,0.4375,0.4486609995365143,0.4308040142059326,0.4430800080299377,0.3483148217201233,251305600,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-15,0.4419640004634857,0.4441959857940674,0.4241069853305816,0.4241069853305816,0.3333997130393982,161403200,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-16,0.3995540142059326,0.40625,0.3883930146694183,0.3973209857940674,0.3123426437377929,542001600,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-19,0.3973209857940674,0.3995540142059326,0.3883930146694183,0.3928569853305816,0.3088334500789642,183120000,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-20,0.3928569853305816,0.3928569853305816,0.3772319853305816,0.3839290142059326,0.3018149435520172,134534400,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-21,0.3839290142059326,0.3883930146694183,0.3772319853305816,0.3794640004634857,0.2983048558235168,129864000,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-22,0.3794640004634857,0.390625,0.375,0.3861609995365143,0.3035695552825928,137200000,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-23,0.3861609995365143,0.3950890004634857,0.3861609995365143,0.391741007566452,0.3079562187194824,123894400,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-26,0.3928569853305816,0.3928569853305816,0.3861609995365143,0.3883930146694183,0.3053240776062011,183836800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-27,0.390625,0.3950890004634857,0.3794640004634857,0.3805800080299377,0.2991821467876434,105784000,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-28,0.3772319853305816,0.3772319853305816,0.3660709857940674,0.3727680146694183,0.2930411100387573,257028800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-29,0.3660709857940674,0.3683040142059326,0.3571430146694183,0.3627229928970337,0.2851444482803345,233520000,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-06-30,0.3616069853305816,0.3727680146694183,0.3526790142059326,0.3683040142059326,0.2895318567752838,164740800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-03,0.3727680146694183,0.3727680146694183,0.3638390004634857,0.3638390004634857,0.286021739244461,48350400,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-05,0.3616069853305816,0.3638390004634857,0.3571430146694183,0.3616069853305816,0.2842670381069183,119156800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-06,0.3638390004634857,0.3727680146694183,0.359375,0.3683040142059326,0.2895318567752838,173924800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-07,0.3683040142059326,0.375,0.3616069853305816,0.3683040142059326,0.2895318567752838,106108800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-10,0.3660709857940674,0.3683040142059326,0.3571430146694183,0.3616069853305816,0.2842670381069183,203694400,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-11,0.3638390004634857,0.3660709857940674,0.3549109995365143,0.3549109995365143,0.2790032625198364,243924800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-12,0.3549109995365143,0.359375,0.3526790142059326,0.3571430146694183,0.2807579338550567,124129600,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-13,0.3571430146694183,0.3660709857940674,0.3526790142059326,0.3627229928970337,0.2851444482803345,225433600,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-14,0.3638390004634857,0.3660709857940674,0.3549109995365143,0.3638390004634857,0.286021739244461,257320000,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-17,0.3638390004634857,0.3683040142059326,0.3549109995365143,0.3638390004634857,0.286021739244461,130894400,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-18,0.3638390004634857,0.3638390004634857,0.3459819853305816,0.3504459857940674,0.2754932940006256,477310400,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-19,0.3526790142059326,0.3638390004634857,0.3482140004634857,0.3616069853305816,0.2842670381069183,238974400,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-20,0.3638390004634857,0.3683040142059326,0.3549109995365143,0.3571430146694183,0.2807579338550567,236073600,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-21,0.3549109995365143,0.3571430146694183,0.3482140004634857,0.3571430146694183,0.2807579338550567,139484800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-24,0.3549109995365143,0.3549109995365143,0.3504459857940674,0.3504459857940674,0.2754932940006256,115987200,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-25,0.3504459857940674,0.3549109995365143,0.3392859995365143,0.3459819853305816,0.2719839215278625,209843200,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-26,0.3415180146694183,0.34375,0.3370540142059326,0.3415180146694183,0.2684747278690338,233744000,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-27,0.3415180146694183,0.3526790142059326,0.3392859995365143,0.3504459857940674,0.2754932940006256,173073600,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-28,0.3504459857940674,0.3549109995365143,0.3482140004634857,0.3515630066394806,0.2763712108135223,119336000,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-07-31,0.3504459857940674,0.3571430146694183,0.3482140004634857,0.3549109995365143,0.2790032625198364,111865600,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-01,0.3549109995365143,0.359375,0.3504459857940674,0.3560270071029663,0.2798806130886078,139540800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-02,0.3549109995365143,0.3616069853305816,0.3526790142059326,0.3616069853305816,0.2842670381069183,101404800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-03,0.3616069853305816,0.3705359995365143,0.3616069853305816,0.3683040142059326,0.2895318567752838,172939200,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-04,0.3683040142059326,0.3816959857940674,0.3671880066394806,0.3816959857940674,0.3000595867633819,183355200,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-07,0.3839290142059326,0.3928569853305816,0.3805800080299377,0.390625,0.3070788085460663,168212800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-08,0.3883930146694183,0.3995540142059326,0.3883930146694183,0.3939729928970337,0.3097107410430908,206192000,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-09,0.3928569853305816,0.4084819853305816,0.391741007566452,0.3928569853305816,0.3088334500789642,195160000,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-10,0.3928569853305816,0.3928569853305816,0.3816959857940674,0.3861609995365143,0.3035695552825928,152364800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-11,0.3928569853305816,0.3928569853305816,0.3683040142059326,0.373883992433548,0.2939183115959167,230081600,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-14,0.3705359995365143,0.375,0.3616069853305816,0.3638390004634857,0.286021739244461,102827200,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-15,0.3638390004634857,0.3705359995365143,0.3638390004634857,0.3694199919700622,0.2904090881347656,163732800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-16,0.3705359995365143,0.3727680146694183,0.3571430146694183,0.360491007566452,0.2833898365497589,120534400,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-17,0.359375,0.3683040142059326,0.3571430146694183,0.3660709857940674,0.287776380777359,153316800,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
1989-08-18,0.3727680146694183,0.3794640004634857,0.3705359995365143,0.3772319853305816,0.2965502738952636,84067200,AAPL,Apple Inc.,Consumer Electronics,Technology,2933259763712,381623009280,0
