Year,Originating Crisis,Policy Date,Policy Title,Policy Description,Federal Policy Number,Attribution Link,President,Vice President,Govt Intervention
2000,"Dot-Com Bubble",null,null,"The dot-com bubble inflated in the late 1990s, driven by speculation in internet companies, and burst in early 2000 after peaking on March 10, 2000. The Federal Reserve raised interest rates, which contributed to the bubble bursting, but there does not appear to be evidence of major federal bailouts or stimulus programs specifically for this sector.",null, "https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp  https://www.investopedia.com/terms/d/dotcom-bubble.asp","Bill Clinton","Al Gore","False"
2001,"Dot-Com Recession",null,null,"The bursting of the dot-com bubble led to a recession in 2001, with GDP contracting and unemployment rising. However, there were no major federal stimulus or bailout programs implemented in response.",null, "https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp  https://www.investopedia.com/terms/r/recession.asp","George W. Bush","Dick Cheney","False"
1986,"Savings and Loan Crisis",null,"Savings and Loan Crisis Cleanup","The government spent an estimated $160 billion (in 1990 dollars) cleaning up the savings and loan mess.",null,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","Ronald Reagan","George H. W. Bush","True"
1987,"Savings and Loan Crisis",null,"Savings and Loan Crisis Cleanup","The government spent an estimated $160 billion (in 1990 dollars) cleaning up the savings and loan mess.",null,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","Ronald Reagan","George H. W. Bush","True"
1988,"Savings and Loan Crisis",null,"Savings and Loan Crisis Cleanup","The government spent an estimated $160 billion (in 1990 dollars) cleaning up the savings and loan mess.",null,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","Ronald Reagan","George H. W. Bush","True"
1989,"Savings and Loan Crisis",null,"Savings and Loan Crisis Cleanup","The government spent an estimated $160 billion (in 1990 dollars) cleaning up the savings and loan mess.",null,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","George H. W. Bush","Dan Quayle","True"
1990,"Savings and Loan Crisis",null,"Savings and Loan Crisis Cleanup","The government spent an estimated $160 billion (in 1990 dollars) cleaning up the savings and loan mess.",null,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","George H. W. Bush","Dan Quayle","True"
1991,"Savings and Loan Crisis",null,"Savings and Loan Crisis Cleanup","The government spent an estimated $160 billion (in 1990 dollars) cleaning up the savings and loan mess.",null,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","George H. W. Bush","Dan Quayle","True"
1992,"Savings and Loan Crisis",null,"Savings and Loan Crisis Cleanup","The government spent an estimated $160 billion (in 1990 dollars) cleaning up the savings and loan mess.",null,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","George H. W. Bush","Dan Quayle","True"
1993,"Savings and Loan Crisis",null,"Savings and Loan Crisis Cleanup","The government spent an estimated $160 billion (in 1990 dollars) cleaning up the savings and loan mess.",null,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","George H. W. Bush","Dan Quayle","True"
1994,"Savings and Loan Crisis",null,"Savings and Loan Crisis Cleanup","The government spent an estimated $160 billion (in 1990 dollars) cleaning up the savings and loan mess.",null,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","Bill Clinton","Al Gore","True"
1995,"Savings and Loan Crisis",null,"Savings and Loan Crisis Cleanup","The government spent an estimated $160 billion (in 1990 dollars) cleaning up the savings and loan mess.",null,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","Bill Clinton","Al Gore","True"
2008,"Financial Crisis","October 3, 2008","Troubled Asset Relief Program (TARP)","A $700 billion government bailout meant to keep troubled banks and other financial institutions afloat during the 2007â€“08 Financial Crisis.",P.L. 110-343,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","George W. Bush","Dick Cheney","True"
2008,"Financial Crisis","March 16, 2008","Bear Stearns Bailout"," The collapse of Bear Stearns was rescued by the government.",null,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","George W. Bush","Dick Cheney","True"
2008,"Financial Crisis","September 16, 2008","AIG Bailout"," The rescue of American International Group (AIG) by the government.",null,"https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp","George W. Bush","Dick Cheney","True"
2020,"COVID-19 Pandemic","March 27, 2020","Coronavirus Aid Relief and Economic Security (CARES) Act","Provided more than $2 trillion in assistance, including stimulus checks of $1,200 per adult and $500 per child, expanded unemployment benefits, Paycheck Protection Program for small businesses.","P.L. 116-136","https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp,https://www.investopedia.com/coronavirus-aid-relief-and-economic-security-cares-act-5206481","Donald Trump","Mike Pence","True"
2020,"COVID-19 Pandemic","December 27, 2020","Consolidated Appropriations Act"," $900 billion stimulus and relief bill with $600 direct payments per person, expanded unemployment benefits, small business loans, and funding for various sectors like transportation, public health, education.","P.L. 116-260","https://www.investopedia.com/coronavirus-aid-relief-and-economic-security-cares-act-5206481","Donald Trump","Mike Pence","True"
2021,"COVID-19 Pandemic","March 11, 2021","American Rescue Plan Act"," $1.9 trillion package with $1,400 stimulus checks, extended unemployment benefits, aid to state/local governments, funding for COVID-19 response efforts.","P.L. 117-2","https://www.investopedia.com/articles/economics/08/government-financial-bailout.asp,https://www.investopedia.com/coronavirus-aid-relief-and-economic-security-cares-act-5206481","Joe Biden","Kamala Harris","True"
2022,"COVID-19 Pandemic","August 01, 2022","Student Loan Debt Relief Plan","Canceled up to $10,000 in federal student loan debt for individuals with incomes below $125,000 ($250,000 for couples), up to $20,000 for Pell Grant recipients.",null,"https://www.investopedia.com/coronavirus-aid-relief-and-economic-security-cares-act-5206481","Joe Biden","Kamala Harris","True"